GEOID,HEZ
440050404002,
440070105024,HEZ - East Providence
440070151002,HEZ - Pawtucket & Central Falls
440010306023,HEZ - Warren
440030206032,
440070128011,HEZ - Blackstone Valley
440070121043,HEZ - Tri-County
440090513024,HEZ - Washington County
440030205002,HEZ - West Warwick
440010309024,HEZ - Bristol
440010303001,
440090513062,HEZ - Washington County
440030208003,
440070127021,HEZ - Tri-County
440030210012,HEZ - Warwick
440070123002,HEZ - Tri-County
440070127012,HEZ - Tri-County
440030203001,HEZ - West Warwick
440050417021,
440090506002,HEZ - Washington County
440070181001,HEZ - Woonsocket
440070169002,HEZ - Pawtucket & Central Falls
440070114011,HEZ - Blackstone Valley
440070114031,HEZ - Blackstone Valley
440070156001,HEZ - Pawtucket & Central Falls
440010309012,HEZ - Bristol
440070021012,HEZ - Central Providence
440050408003,
440070008002,
440070143004,HEZ - OneCranston
440050409002,
440050416022,
440070174001,HEZ - Woonsocket
440090501042,HEZ - Washington County
440070161002,HEZ - Pawtucket & Central Falls
440070035002,
440070107021,HEZ - East Providence
440090515031,HEZ - Washington County
440030204002,HEZ - West Warwick
440070014003,HEZ - 02907
440070152002,HEZ - Pawtucket & Central Falls
440070023002,HEZ - Central Providence
440090504022,HEZ - Washington County
440090513041,HEZ - Washington County
440070024005,HEZ - Central Providence
440050411002,HEZ - Newport
440070033003,
440090515022,HEZ - Washington County
440070034004,
440070011001,HEZ - Central Providence
440050412001,HEZ - Newport
440070128012,HEZ - Blackstone Valley
440070134002,HEZ - OneCranston
440070175002,HEZ - Woonsocket
440050403022,
440010309023,HEZ - Bristol
440070178002,HEZ - Woonsocket
440010302002,
440070027002,HEZ - Central Providence
440030206042,
440090509021,HEZ - Washington County
440070139003,HEZ - OneCranston
440030221004,HEZ - Warwick
440050406001,HEZ - Newport
440070021024,HEZ - Central Providence
440070112002,HEZ - Blackstone Valley
440070107012,HEZ - East Providence
440070035003,
440030214012,HEZ - Warwick
440090512011,HEZ - Washington County
440070103002,HEZ - East Providence
440070112004,HEZ - Blackstone Valley
440070102002,HEZ - East Providence
440070155004,HEZ - Pawtucket & Central Falls
440070121021,HEZ - Tri-County
440070178001,HEZ - Woonsocket
440070138002,HEZ - OneCranston
440090508015,HEZ - Washington County
440070003002,HEZ - 02907
440070140005,HEZ - OneCranston
440090509024,HEZ - Washington County
440070159004,HEZ - Pawtucket & Central Falls
440070118005,HEZ - Tri-County
440090513063,HEZ - Washington County
440070012001,HEZ - 02907
440070014005,HEZ - 02907
440090507001,HEZ - Washington County
440070124011,HEZ - Tri-County
440070121041,HEZ - Tri-County
440030219032,HEZ - Warwick
440070102007,HEZ - East Providence
440070119023,HEZ - Tri-County
440070140003,HEZ - OneCranston
440030207033,
440090510002,HEZ - Washington County
440070005003,HEZ - South Providence
440070128022,HEZ - Blackstone Valley
440090514001,HEZ - Washington County
440090501033,HEZ - Washington County
440070140001,HEZ - OneCranston
440070113011,HEZ - Blackstone Valley
440030203004,HEZ - West Warwick
440070171004,HEZ - Pawtucket & Central Falls
440070032002,
440070130011,
440070016005,HEZ - Central Providence
440070016001,HEZ - Central Providence
440070004001,HEZ - South Providence
440070003005,HEZ - 02907
440070026003,HEZ - Central Providence
440070132012,
440010301001,
440070105023,HEZ - East Providence
440070128032,HEZ - Blackstone Valley
440070122001,HEZ - Tri-County
440070141002,HEZ - OneCranston
440070127023,HEZ - Tri-County
440050405002,HEZ - Newport
440070101013,HEZ - East Providence
440070134001,HEZ - OneCranston
440030223001,HEZ - Warwick
440030215011,HEZ - Warwick
440070169001,HEZ - Pawtucket & Central Falls
440070129002,
440070139002,HEZ - OneCranston
440070114014,HEZ - Blackstone Valley
