year,period,geoid,pct_demographic_1,pct_demographic_2,pct_demographic_3,mat_services,parks,structure_1,housing_score,structure_5,structure_6,ems_runs,structure_8,overdoses,structure_10,flag_1,flag_2
2016,1,440010301001,54.95,4.85,1.23,0,0,0,13,0,0,0,0,2,0,1,2
2016,1,440010301002,44.13,1.51,8.59,0,0,0,9,0,0,0,0,1,0,0,0
2016,1,440010301003,44.85,4.03,0,0,0,0,22,0,0,0,0,1,0,0,0
2016,1,440010301004,49.06,13.07,1.43,0,0,0,9,0,0,0,0,0,0,1,3
2016,1,440010302001,51.27,3.81,1.37,0,0,0,35,0,0,20,0,5,0,1,3
2016,1,440010302002,47.48,10.92,3.33,1,1,1,13,1,0,8,2,1,0,1,3
2016,1,440010302003,48.47,0.76,2.04,0,0,0,12,0,1,22,0,1,0,1,2
2016,1,440010303001,48.66,3.27,0.42,0,0,1,38,0,0,8,0,1,0,0,0
2016,1,440010303002,49.89,3.37,2.86,0,0,0,16,0,0,0,0,3,0,1,3
2016,1,440010303003,47.01,10.55,0,0,0,0,26,0,0,0,0,0,0,0,0
2016,1,440010304001,54.27,4.27,4.98,0,0,0,6,0,0,10,2,0,0,0,0
2016,1,440010304002,46.27,3.1,1.84,0,0,0,20,0,0,0,0,0,0,1,2
2016,1,440010304003,47.99,9.94,3.1,0,0,0,29,0,0,2,0,1,0,0,0
2016,1,440010305001,54.34,0.86,7.29,0,0,0,6,0,0,10,0,0,2,1,3
2016,1,440010305002,45.27,4.96,3.95,1,0,2,10,1,1,11,2,0,0,1,1
2016,1,440010305003,42.28,0.72,2.78,0,1,1,3,0,0,11,0,1,128,1,1
2016,1,440010306011,56,0.57,2.86,0,1,1,73,0,0,0,0,4,0,1,2
2016,1,440010306012,41.63,4.05,3.54,0,0,0,31,0,0,0,0,1,0,0,0
2016,1,440010306013,52.37,2.18,0,0,0,1,92,0,0,0,0,1,0,1,1
2016,1,440010306021,49.7,5.43,2.8,0,0,0,16,0,0,4,0,0,0,0,0
2016,1,440010306022,43.03,5.73,0,0,0,0,3,0,0,4,0,0,0,0,0
2016,1,440010306023,46.53,6.63,0,0,1,1,7,0,0,8,0,0,0,1,2
2016,1,440010306024,46.11,21.44,1.52,0,0,0,10,0,0,6,0,0,3,1,1
2016,1,440010307001,47.15,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,1,440010307002,31.56,4.28,0,0,0,0,2,0,0,0,0,1,1,0,0
2016,1,440010307003,47.09,6,0,0,0,0,1,0,0,0,0,2,0,0,0
2016,1,440010307004,42,1.39,7.93,0,2,2,1,0,1,10,0,2,106,1,1
2016,1,440010308001,52.7,1.58,0.93,1,1,0,4,1,0,2,0,0,3,1,3
2016,1,440010308002,50.84,11.44,1.77,0,0,0,11,0,0,9,0,1,0,0,0
2016,1,440010308003,49.08,9.27,5.03,0,0,0,8,0,0,13,0,0,17,1,1
2016,1,440010308004,49.38,0.34,3.22,0,0,0,46,0,3,6,0,1,0,1,3
