placekey,parent_placekey,location_name,top_category,latitude,longitude,street_address,city,region,postal_code,poi_cbg,total_visitors,rank
zzw-222@62k-jfj-6x5,,Tall Cedars,Public Parks and Beaches,41.754045,-71.337634,Tall Cedars,Barrington,RI,02806,440010301001,155,1
zzz-222@62k-jfh-vj9,,Sherwood Field,Other Amusement and Recreation Industries,41.756364,-71.333698,Sherwood Field,Barrington,RI,02806,440010301001,94,2
zzz-222@62k-jfj-92k,,Primrose Hill,Public Parks and Beaches,41.75932,-71.338906,Primrose Hill,Barrington,RI,02806,440010301001,74,3
zzz-222@62k-jfh-xnq,,Lions Head,Public Parks and Beaches,41.757634,-71.331684,Lions Head,Barrington,RI,02806,440010301001,64,4
zzw-222@62k-jfh-649,,St Andrews Farm,Public Parks and Beaches,41.749393,-71.333547,Devine Vargas Conservation Area,Barrington,RI,02806,440010301001,59,5
zzw-222@62k-jfj-2hq,,Barrington Middle School,Elementary and Secondary Schools,41.745854,-71.332401,261 Middle Hwy,Barrington,RI,02806,440010301002,186,1
zzz-222@62k-jfh-d7q,,Bicknell Park,Public Parks and Beaches,41.743088,-71.339313,Bicknell Park,Barrington,RI,02806,440010301002,105,2
zzz-222@62k-jfj-yqf,,Sowams Road,Public Parks and Beaches,41.734135,-71.336877,Sowams Road,Barrington,RI,02806,440010301002,70,3
zzz-222@62k-jfh-8qf,,Echo Lake Lombardi Park,Public Parks and Beaches,41.738678,-71.333793,Echo Lake Lombardi Park,Barrington,RI,02806,440010301002,43,4
224-222@62k-jfh-r49,,Barrington United Methodist Church,Religious Organizations,41.744737,-71.341002,230 Washington Rd,Barrington,RI,02806,440010301002,34,5
zzz-222@62k-jfn-3wk,,Latham Park,Public Parks and Beaches,41.745709,-71.35262,Latham Park,Barrington,RI,02806,440010301003,402,1
zzz-222@62k-jfh-psq,,Drown Cove,Public Parks and Beaches,41.742705,-71.347878,Drown Cove,Barrington,RI,02806,440010301003,227,2
zzw-222@62k-jfh-qfz,,Synergy Power Yoga,Other Amusement and Recreation Industries,41.747557,-71.342902,32 Bay Spring Ave,Barrington,RI,02806,440010301003,73,3
zzz-222@62k-jfp-cyv,,Mussachuck Creek,Public Parks and Beaches,41.73778,-71.343688,Mussachuck Creek,Barrington,RI,02806,440010301003,66,4
225-222@62k-jfh-g6k,,Prestige Therapy,Offices of Other Health Practitioners,41.748418,-71.348037,166 Bay Spring Ave,Barrington,RI,02806,440010301003,52,5
