geoid,race_aian,race_asian,race_black,hispanic,race_nhpi,race_white,below_poverty,unemployed,housing_burden,no_vehicle,living_alone,crowded_housing,internet
440010301001,0,0.036171816,0,0.022607385,0,0.941220799,0.033157498,0.009333333,1,0,0.238549618,0,0.916030534
440010301002,0,0.049438202,0,0.035955056,0,0.906741573,0,0.032653061,,0,0.117263844,0,1
440010301003,0,0.027095682,0,0,0,0.879762913,0.014394581,0.033557047,0.85,0.059701493,0.403508772,0,0.884990253
440010301004,0.018672199,0.04253112,0.01659751,0.010373444,0,0.81846473,0.101659751,0.016728625,0.740740741,0.122055675,0.393258427,0,0.860674157
440010302001,0,0,0,0.070555033,0,0.929444967,0.073377234,0.04,,0,0.148876404,0,0.828651685
440010302002,0,0.055292259,0,0.109004739,0,0.773301738,0.018957346,0.045325779,0.410526316,0,0.211576846,0,0.926147705
440010302003,0,0,0,0.045209903,0,0.954790097,0.064585576,0,0.422535211,0.021479714,0.146067416,0,0.896067416
440010303001,0,0.130087209,0.015988372,0.015988372,0,0.792151163,0,0.012531328,0,0.015473888,0.18852459,0,1
440010303002,0,0.012634239,0.003790272,0.023373342,0,0.952621605,0.036007581,0.038809832,0.637931034,0,0.145985401,0,0.914233577
440010303003,0,0.031821259,0.006093433,0,0,0.958700068,0.007447529,0.053231939,0.272727273,0,0.184070796,0,0.984070796
440010304001,0,0.031553398,0,0.029126214,0,0.92961165,0.036407767,0.048986486,,0,0.070866142,0.023980815,1
440010304002,0,0.047188106,0,0.041370394,0,0.877181642,0.014221073,0,0,0,0.117117117,0,1
440010304003,0,0.00619195,0.000773994,0.074303406,0,0.901702786,0.01006192,0.003448276,0.47826087,0.030612245,0.220408163,0,0.928571429
440010305001,0,0,0.018575851,0,0,0.828173375,0.394736842,0.058823529,0.404669261,0.213032581,0.591549296,0,0.861971831
440010305002,0,0,0,0.015886288,0,0.964882943,0.170568562,0.044642857,0.388412017,0.051529791,0.422222222,0,0.88034188
440010305003,0,0.00618238,0,0.020865533,0,0.972952087,0.089644513,0.053254438,0.462242563,0.141935484,0.447521866,0.010322581,0.844023324
440010306011,0,0,0,0.051388889,0,0.940277778,0.079166667,0.02278481,0.726415094,0.023076923,0.268852459,0,0.750819672
440010306012,0,0.02532512,0,0.021902806,0,0.941136208,0.07871321,0,0.543478261,0.017432647,0.333333333,0,0.968333333
440010306013,0,0,0,0,0,0.957286432,0.013400335,0.058214748,0.466666667,0,0.134955752,0,0.92920354
440010306021,0,0,0.006685769,0.055396371,0,0.921680993,0.095510984,0,0.312267658,0.342205323,0.502994012,0,0.720558882
440010306022,0,0,0.011959522,0.042318307,0,0.945722171,0.046918123,0.105820106,0.379562044,0.024667932,0.368209256,0,0.812877264
440010306023,0,0,0.009314141,0,0,0.965283658,0.119390347,0.025265957,0.720930233,0.062271062,0.336996337,0,0.860805861
440010306024,0,0,0,0.064954683,0,0.935045317,0.19939577,0.024464832,0.227586207,0.098173516,0.487394958,0,0.904761905
440010307001,0,0.023564065,0,0,0,0.976435935,0.24742268,0.04822335,0.509677419,0.169312169,0.28030303,0,0.950757576
440010307002,0,0,0.081730769,0,0,0.918269231,0.162259615,0.130890052,0.535307517,0.313014827,0.645403377,0,0.609756098
440010307003,0,0.208333333,0,0,0,0.772849462,0.297043011,0.113861386,0.374045802,0.070484581,0.349030471,0,0.905817175
440010307004,0,0,0,0.053586863,0,0.92048401,0.167675022,0.058181818,0.51810585,0.195744681,0.420168067,0,0.981512605
440010308001,0,0,0.196560197,0.006552007,0,0.796068796,0.27027027,0.032659409,0.596059113,0.03926097,0.136125654,0.108545035,0.897905759
440010308002,0,0.0333081,0.017411052,0.009084027,0,0.940196821,0.025738077,0.040595399,0.557788945,0.043661972,0.359055118,0,0.803149606
440010308003,0.00255102,0.005102041,0.080357143,0.021683673,0,0.890306122,0.151785714,0.06302521,0.286516854,0.03307393,0.325688073,0,0.821100917
440010308004,0.004724941,0.00641242,0.006074924,0.023287209,0,0.947688154,0,0.005809129,,0,0.308641975,0,1
440010309011,0,0,0,0.088369963,0,0.911630037,0.117673993,0.02173913,0.704918033,0,0.089480048,0,0.979443773
440010309012,0,0.028143441,0,0.030413073,0,0.926917839,0.030413073,0.028189911,0.294117647,0,0.243243243,0.017671518,0.881496881
440010309013,0,0,0,0,0,1,0.01121372,0.00462963,0.454545455,0.036585366,0.300813008,0,0.725609756
440010309021,0,0.019252548,0.028312571,0.032842582,0,0.902604757,0.05209513,0,,0.057755776,0.339712919,0,0.90430622
440010309022,0,0,0,0,0,0.908882521,0.020057307,0.02244389,0,0,0.233333333,0,0.966666667
440010309023,0,0.02994429,0,0,0,0.97005571,0.009749304,0,0.121212121,0,0.332857143,0,0.882857143
440010309024,0,0,0.032700848,0.074687122,0,0.868792895,0.025837707,0.070305273,0.463937622,0.013307985,0.330818966,0,0.756465517
440030201011,0,0.081575246,0.030590717,0.026019691,0,0.852320675,0.096694796,0.047128927,0.458100559,0.06122449,0.419642857,0,0.947802198
440030201012,0,0.007358352,0,0.02281089,0,0.95732156,0.007358352,0.019607843,,0,0.118012422,0,0.954451346
440030201013,0,0.040366972,0,0.163669725,0,0.795963303,0.131743119,0.02987013,0.253571429,0.038647343,0.304347826,0.069565217,0.914009662
440030201021,0,0,0,0,0,1,0.019950125,0.014478764,0,0,0.259780908,0,0.973395931
440030201022,0,0.108231707,0,0.070884146,0,0.820884146,0.224085366,0,0.441176471,0.024142313,0.436865022,0,0.859216255
440030201023,0,0,0.035805627,0.042455243,0,0.876214834,0.116112532,0.010952903,0.287356322,0.024355301,0.201470588,0.014326648,0.926470588
440030202001,0,0,0.041803279,0.077868852,0,0.861065574,0.130327869,0.034146341,0.334161491,0.169692186,0.426735219,0.012628256,0.753213368
440030202002,0,0.074371859,0,0.224120603,0,0.652261307,0.166834171,0.024734982,0.542857143,0.017013233,0.243852459,0.026465028,0.911885246
440030202003,0,0.049382716,0.001763668,0.044091711,0,0.775132275,0.066137566,0,0.53164557,0.113496933,0.491056911,0.067484663,0.82601626
440030203001,0,0,0.513478819,0,0,0.399229782,0.138639281,0,0.270588235,0.060702875,0.274760383,0,0.785942492
440030203002,0,0,0,0.124137931,0,0.875862069,0.173275862,0.051094891,0.637883008,0.131612903,0.447540984,0.029677419,0.668852459
440030203003,0,0,0.014785992,0.141634241,0,0.843579767,0.017898833,0,0.228710462,0,0.37458194,0,0.842809365
440030203004,0,0,0,0.056255248,0,0.943744752,0.368597817,0.040339703,0.83933518,0.231028668,0.329875519,0.119730185,0.825726141
440030203005,0,0,0,0.041785375,0,0.958214625,0.341880342,0.054279749,0.705050505,0.35131397,0.537383178,0.024896266,0.858255452
440030204001,0,0,0,0.02864259,0,0.97135741,0.04109589,0.080675422,0.285714286,0.024691358,0.169753086,0.027777778,0.913580247
440030204002,0,0,0,0.110169492,0,0.886198547,0.073849879,0.197265625,0.342222222,0,0.237237237,0.009009009,0.888888889
440030204003,0,0,0.009931245,0.048892284,0,0.812834225,0.084033613,0.077669903,0.626811594,0.1359375,0.288973384,0.059375,0.857414449
440030205001,0,0.01161103,0.025399129,0.08563135,0,0.846879536,0.005805515,0.044554455,0.175,0.029411765,0.353448276,0,0.839655172
440030205002,0,0.100828729,0.011510129,0.0893186,0,0.798342541,0.205801105,0.109174312,0.524557957,0.143220339,0.439408867,0.022881356,0.802955665
