geoid,name,priority
440010301001,Barrington,Lower risk for overdose
440010301002,Barrington,Lower risk for overdose
440010301003,Barrington,Lower risk for overdose
440010301004,Barrington,Lower risk for overdose
440010302001,Barrington,Lower risk for overdose
440010302002,Barrington,Lower risk for overdose
440010302003,Barrington,Lower risk for overdose
440010303001,Barrington,Lower risk for overdose
440010303002,Barrington,Lower risk for overdose
440010303003,Barrington,Lower risk for overdose
440010304001,Barrington,Lower risk for overdose
440010304002,Barrington,Lower risk for overdose
440010304003,Barrington,Lower risk for overdose
440010307001,Bristol,Lower risk for overdose
440010307002,Bristol,Lower risk for overdose
440010307003,Bristol,Lower risk for overdose
440010307004,Bristol,Sporadically high risk for overdose
440010308001,Bristol,Lower risk for overdose
440010308002,Bristol,Lower risk for overdose
440010308003,Bristol,Lower risk for overdose
440010308004,Bristol,Lower risk for overdose
440010309011,Bristol,Lower risk for overdose
440010309012,Bristol,Lower risk for overdose
440010309013,Bristol,Lower risk for overdose
440010309021,Bristol,Lower risk for overdose
440010309022,Bristol,Lower risk for overdose
440010309023,Bristol,Lower risk for overdose
440010309024,Bristol,Sporadically high risk for overdose
440070129001,Burrillville,Sporadically high risk for overdose
440070129002,Burrillville,Sporadically high risk for overdose
440070129003,Burrillville,Lower risk for overdose
440070129004,Burrillville,Lower risk for overdose
440070130011,Burrillville,Lower risk for overdose
440070130012,Burrillville,Lower risk for overdose
440070130013,Burrillville,Lower risk for overdose
440070130021,Burrillville,Sporadically high risk for overdose
440070130022,Burrillville,Lower risk for overdose
440070130023,Burrillville,Lower risk for overdose
440070130024,Burrillville,Lower risk for overdose
440070108001,Central Falls,Persistently high risk for overdose
440070108002,Central Falls,Persistently high risk for overdose
440070108003,Central Falls,Lower risk for overdose
440070109001,Central Falls,Sporadically high risk for overdose
440070109002,Central Falls,Sporadically high risk for overdose
440070109003,Central Falls,Lower risk for overdose
440070110001,Central Falls,Sporadically high risk for overdose
440070110002,Central Falls,Persistently high risk for overdose
440070110003,Central Falls,Persistently high risk for overdose
440070111001,Central Falls,Sporadically high risk for overdose
440070111002,Central Falls,Persistently high risk for overdose
440090511011,Charlestown,Lower risk for overdose
440090511012,Charlestown,Lower risk for overdose
440090511013,Charlestown,Lower risk for overdose
440090511014,Charlestown,Lower risk for overdose
440090511021,Charlestown,Lower risk for overdose
440090511022,Charlestown,Lower risk for overdose
440090511023,Charlestown,Lower risk for overdose
440030206011,Coventry,Sporadically high risk for overdose
440030206012,Coventry,Lower risk for overdose
440030206013,Coventry,Lower risk for overdose
440030206014,Coventry,Lower risk for overdose
440030206021,Coventry,Sporadically high risk for overdose
440030206022,Coventry,Sporadically high risk for overdose
440030206031,Coventry,Sporadically high risk for overdose
440030206032,Coventry,Lower risk for overdose
440030206033,Coventry,Sporadically high risk for overdose
440030206041,Coventry,Persistently high risk for overdose
440030206042,Coventry,Sporadically high risk for overdose
440030206043,Coventry,Sporadically high risk for overdose
440030207011,Coventry,Lower risk for overdose
440030207021,Coventry,Lower risk for overdose
440030207022,Coventry,Sporadically high risk for overdose
440030207031,Coventry,Lower risk for overdose
440030207032,Coventry,Sporadically high risk for overdose
440030207033,Coventry,Lower risk for overdose
440070134001,Cranston,Lower risk for overdose
440070134002,Cranston,Lower risk for overdose
440070134003,Cranston,Lower risk for overdose
440070134004,Cranston,Lower risk for overdose
440070135001,Cranston,Lower risk for overdose
440070135002,Cranston,Lower risk for overdose
440070135003,Cranston,Lower risk for overdose
440070135004,Cranston,Lower risk for overdose
440070135005,Cranston,Sporadically high risk for overdose
440070136001,Cranston,Lower risk for overdose
440070136002,Cranston,Lower risk for overdose
440070136003,Cranston,Sporadically high risk for overdose
440070137011,Cranston,Lower risk for overdose
440070137012,Cranston,Lower risk for overdose
440070137013,Cranston,Lower risk for overdose
440070137014,Cranston,Lower risk for overdose
440070137021,Cranston,Lower risk for overdose
440070137022,Cranston,Lower risk for overdose
440070137023,Cranston,Lower risk for overdose
440070138001,Cranston,Lower risk for overdose
440070138002,Cranston,Lower risk for overdose
440070138003,Cranston,Lower risk for overdose
440070138004,Cranston,Lower risk for overdose
440070138005,Cranston,Lower risk for overdose
440070139001,Cranston,Lower risk for overdose
440070139002,Cranston,Lower risk for overdose
440070139003,Cranston,Sporadically high risk for overdose
440070140001,Cranston,Lower risk for overdose
440070140002,Cranston,Sporadically high risk for overdose
440070140003,Cranston,Sporadically high risk for overdose
440070140004,Cranston,Lower risk for overdose
440070140005,Cranston,Lower risk for overdose
440070141001,Cranston,Sporadically high risk for overdose
440070141002,Cranston,Sporadically high risk for overdose
440070141003,Cranston,Sporadically high risk for overdose
440070141004,Cranston,Lower risk for overdose
440070142001,Cranston,Lower risk for overdose
440070142002,Cranston,Sporadically high risk for overdose
440070142003,Cranston,Lower risk for overdose
440070143001,Cranston,Lower risk for overdose
440070143002,Cranston,Lower risk for overdose
440070143003,Cranston,Lower risk for overdose
440070143004,Cranston,Lower risk for overdose
440070144001,Cranston,Lower risk for overdose
440070144002,Cranston,Lower risk for overdose
440070144003,Cranston,Lower risk for overdose
440070145011,Cranston,Lower risk for overdose
440070145012,Cranston,Lower risk for overdose
440070145013,Cranston,Lower risk for overdose
440070145021,Cranston,Lower risk for overdose
440070145022,Cranston,Lower risk for overdose
440070145023,Cranston,Lower risk for overdose
440070146001,Cranston,Lower risk for overdose
440070146002,Cranston,Sporadically high risk for overdose
440070146003,Cranston,Lower risk for overdose
440070147001,Cranston,Sporadically high risk for overdose
440070147002,Cranston,Sporadically high risk for overdose
440070147003,Cranston,Sporadically high risk for overdose
440070147004,Cranston,Lower risk for overdose
440070147005,Cranston,Sporadically high risk for overdose
440070147006,Cranston,Sporadically high risk for overdose
440070148001,Cranston,Sporadically high risk for overdose
440070148002,Cranston,Sporadically high risk for overdose
440070148003,Cranston,Lower risk for overdose
440070112001,Cumberland,Lower risk for overdose
440070112002,Cumberland,Sporadically high risk for overdose
440070112003,Cumberland,Lower risk for overdose
440070112004,Cumberland,Sporadically high risk for overdose
440070112005,Cumberland,Sporadically high risk for overdose
440070113011,Cumberland,Lower risk for overdose
440070113012,Cumberland,Sporadically high risk for overdose
440070113013,Cumberland,Lower risk for overdose
440070113021,Cumberland,Lower risk for overdose
440070113022,Cumberland,Lower risk for overdose
440070113023,Cumberland,Lower risk for overdose
