FID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,INSIDE_X,INSIDE_Y,COUSUBNS,GEOID_1,NAME,CLASSFP,FUNCSTAT,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,OBJECTID_1
0,440010301001,Block Group 1,1475138,0,41.75,-71.34,1,-71.34,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
1,440010301002,Block Group 2,912963,103959,41.74,-71.34,2,-71.34,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
2,440010301003,Block Group 3,1058813,2418972,41.74,-71.35,3,-71.35,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
3,440010301004,Block Group 4,869068,169903,41.75,-71.35,4,-71.35,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
4,440010302001,Block Group 1,2027126,409134,41.76,-71.33,5,-71.32,41.76,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
5,440010302002,Block Group 2,1353086,54365,41.74,-71.32,6,-71.32,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
6,440010302003,Block Group 3,1165394,323023,41.74,-71.31,7,-71.31,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
7,440010303001,Block Group 1,1734389,744417,41.75,-71.29,8,-71.29,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
8,440010303002,Block Group 2,2059727,337556,41.75,-71.3,9,-71.3,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
9,440010303003,Block Group 3,2282289,1507951,41.76,-71.31,10,-71.31,41.76,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
10,440010304001,Block Group 1,1122284,552092,41.73,-71.29,11,-71.29,41.72,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
11,440010304002,Block Group 2,2172908,1341982,41.71,-71.3,12,-71.3,41.72,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
12,440010304003,Block Group 3,2976065,10724856,41.72,-71.31,13,-71.32,41.71,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
28,440010305001,Block Group 1,409312,246620,41.74,-71.28,14,-71.28,41.74,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
29,440010305002,Block Group 2,624089,0,41.73,-71.28,15,-71.28,41.73,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
30,440010305003,Block Group 3,472160,199743,41.73,-71.29,16,-71.29,41.73,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
31,440010306011,Block Group 1,4454098,1164218,41.75,-71.27,17,-71.27,41.75,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
32,440010306012,Block Group 2,1654611,163873,41.73,-71.26,18,-71.26,41.73,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
33,440010306013,Block Group 3,4977056,4357927,41.7,-71.24,19,-71.24,41.71,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
34,440010306021,Block Group 1,932367,67388,41.72,-71.27,20,-71.27,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
35,440010306022,Block Group 2,569660,139448,41.72,-71.26,21,-71.26,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
36,440010306023,Block Group 3,1088182,0,41.72,-71.27,22,-71.27,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
37,440010306024,Block Group 4,695794,378752,41.71,-71.29,23,-71.29,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
38,440030206011,Block Group 1,1215442,56812,41.73,-71.54,59,-71.54,41.73,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
39,440030206012,Block Group 2,1915031,40911,41.71,-71.54,60,-71.54,41.71,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
40,440030206013,Block Group 3,4113484,34857,41.72,-71.57,61,-71.57,41.71,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
41,440030206014,Block Group 4,2403418,127427,41.72,-71.55,62,-71.55,41.72,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
42,440030206021,Block Group 1,3343014,198902,41.7,-71.57,63,-71.57,41.7,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
43,440030206022,Block Group 2,3177552,101786,41.69,-71.6,64,-71.58,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
44,440030206031,Block Group 1,2875479,920419,41.68,-71.54,65,-71.54,41.67,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
45,440030206032,Block Group 2,673476,35772,41.68,-71.56,66,-71.56,41.68,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
46,440030206033,Block Group 3,4983083,104631,41.67,-71.57,67,-71.57,41.67,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
47,440030206041,Block Group 1,1493322,125126,41.7,-71.55,68,-71.55,41.7,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
48,440030206042,Block Group 2,665593,0,41.7,-71.54,69,-71.54,41.7,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
49,440030206043,Block Group 3,2185083,154945,41.69,-71.54,70,-71.54,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
50,440030207011,Block Group 1,56980221,1726472,41.69,-71.74,71,-71.74,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
51,440030207021,Block Group 1,8850187,1225036,41.68,-71.63,72,-71.63,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
52,440030207022,Block Group 2,34960574,1756346,41.69,-71.67,73,-71.67,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
53,440030207031,Block Group 1,15090323,759786,41.72,-71.62,74,-71.61,41.72,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
54,440030207032,Block Group 2,3749677,221171,41.67,-71.6,75,-71.6,41.67,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
55,440030207033,Block Group 3,4472290,1075263,41.69,-71.6,76,-71.6,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
140,440030201011,Block Group 1,1565664,17868,41.68,-71.51,39,-71.51,41.68,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
141,440030201012,Block Group 2,3126801,12725,41.67,-71.51,40,-71.52,41.67,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
142,440030201013,Block Group 3,1674786,14863,41.67,-71.52,41,-71.52,41.68,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
143,440030201021,Block Group 1,924074,0,41.69,-71.51,42,-71.51,41.69,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
144,440030201022,Block Group 2,595044,79121,41.68,-71.53,43,-71.52,41.69,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
145,440030201023,Block Group 3,1118957,7853,41.69,-71.52,44,-71.52,41.69,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
146,440030202001,Block Group 1,1205779,77962,41.71,-71.51,45,-71.51,41.71,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
147,440030202002,Block Group 2,621080,62392,41.7,-71.52,46,-71.52,41.7,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
148,440030202003,Block Group 3,1041984,90546,41.69,-71.53,47,-71.53,41.69,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
149,440030203001,Block Group 1,463032,29816,41.72,-71.53,48,-71.53,41.72,1220060,4400378440,West Warwick ,T1,A,20115682,588631,41.68,-71.52,8
