FID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,INSIDE_X,INSIDE_Y,COUSUBNS,GEOID_1,NAME,CLASSFP,FUNCSTAT,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,OBJECTID_1
0,440010301001,Block Group 1,1475138,0,41.75,-71.34,1,-71.34,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
1,440010301002,Block Group 2,912963,103959,41.74,-71.34,2,-71.34,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
2,440010301003,Block Group 3,1058813,2418972,41.74,-71.35,3,-71.35,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
3,440010301004,Block Group 4,869068,169903,41.75,-71.35,4,-71.35,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
4,440010302001,Block Group 1,2027126,409134,41.76,-71.33,5,-71.32,41.76,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
5,440010302002,Block Group 2,1353086,54365,41.74,-71.32,6,-71.32,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
6,440010302003,Block Group 3,1165394,323023,41.74,-71.31,7,-71.31,41.74,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
7,440010303001,Block Group 1,1734389,744417,41.75,-71.29,8,-71.29,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
8,440010303002,Block Group 2,2059727,337556,41.75,-71.3,9,-71.3,41.75,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
9,440010303003,Block Group 3,2282289,1507951,41.76,-71.31,10,-71.31,41.76,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
10,440010304001,Block Group 1,1122284,552092,41.73,-71.29,11,-71.29,41.72,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
11,440010304002,Block Group 2,2172908,1341982,41.71,-71.3,12,-71.3,41.72,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
12,440010304003,Block Group 3,2976065,10724856,41.72,-71.31,13,-71.32,41.71,1220084,4400105140,Barrington ,T1,A,21209250,18688210,41.73,-71.32,1
13,440010307001,Block Group 1,174519,0,41.68,-71.27,24,-71.27,41.68,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
14,440010307002,Block Group 2,231471,0,41.67,-71.27,25,-71.27,41.67,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
15,440010307003,Block Group 3,235127,0,41.67,-71.27,26,-71.27,41.67,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
16,440010307004,Block Group 4,444795,329020,41.67,-71.28,27,-71.28,41.67,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
17,440010308001,Block Group 1,654758,2667,41.68,-71.26,28,-71.26,41.67,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
18,440010308002,Block Group 2,1449330,1576,41.66,-71.26,29,-71.26,41.66,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
19,440010308003,Block Group 3,1099183,2427504,41.65,-71.27,30,-71.27,41.65,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
20,440010308004,Block Group 4,2780445,5927779,41.67,-71.24,31,-71.24,41.66,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
21,440010309011,Block Group 1,1574345,526643,41.71,-71.25,32,-71.26,41.71,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
22,440010309012,Block Group 2,2292967,918275,41.69,-71.25,33,-71.25,41.69,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
23,440010309013,Block Group 3,2650771,2839273,41.69,-71.22,34,-71.24,41.68,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
24,440010309021,Block Group 1,2501777,8101,41.7,-71.27,35,-71.27,41.7,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
25,440010309022,Block Group 2,1812848,1886418,41.7,-71.29,36,-71.29,41.7,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
26,440010309023,Block Group 3,5055105,13057515,41.66,-71.3,37,-71.3,41.67,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
27,440010309024,Block Group 4,2469667,15302,41.68,-71.27,38,-71.27,41.69,1220083,4400109280,Bristol ,T1,A,25427108,27940073,41.68,-71.27,2
28,440010305001,Block Group 1,409312,246620,41.74,-71.28,14,-71.28,41.74,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
29,440010305002,Block Group 2,624089,0,41.73,-71.28,15,-71.28,41.73,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
30,440010305003,Block Group 3,472160,199743,41.73,-71.29,16,-71.29,41.73,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
31,440010306011,Block Group 1,4454098,1164218,41.75,-71.27,17,-71.27,41.75,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
32,440010306012,Block Group 2,1654611,163873,41.73,-71.26,18,-71.26,41.73,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
33,440010306013,Block Group 3,4977056,4357927,41.7,-71.24,19,-71.24,41.71,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
34,440010306021,Block Group 1,932367,67388,41.72,-71.27,20,-71.27,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
35,440010306022,Block Group 2,569660,139448,41.72,-71.26,21,-71.26,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
36,440010306023,Block Group 3,1088182,0,41.72,-71.27,22,-71.27,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
37,440010306024,Block Group 4,695794,378752,41.71,-71.29,23,-71.29,41.72,1220057,4400173760,Warren ,T1,A,15877329,6717969,41.73,-71.26,3
38,440030206011,Block Group 1,1215442,56812,41.73,-71.54,59,-71.54,41.73,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
39,440030206012,Block Group 2,1915031,40911,41.71,-71.54,60,-71.54,41.71,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
40,440030206013,Block Group 3,4113484,34857,41.72,-71.57,61,-71.57,41.71,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
41,440030206014,Block Group 4,2403418,127427,41.72,-71.55,62,-71.55,41.72,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
42,440030206021,Block Group 1,3343014,198902,41.7,-71.57,63,-71.57,41.7,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
43,440030206022,Block Group 2,3177552,101786,41.69,-71.6,64,-71.58,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
44,440030206031,Block Group 1,2875479,920419,41.68,-71.54,65,-71.54,41.67,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
45,440030206032,Block Group 2,673476,35772,41.68,-71.56,66,-71.56,41.68,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
46,440030206033,Block Group 3,4983083,104631,41.67,-71.57,67,-71.57,41.67,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
47,440030206041,Block Group 1,1493322,125126,41.7,-71.55,68,-71.55,41.7,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
48,440030206042,Block Group 2,665593,0,41.7,-71.54,69,-71.54,41.7,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
49,440030206043,Block Group 3,2185083,154945,41.69,-71.54,70,-71.54,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
50,440030207011,Block Group 1,56980221,1726472,41.69,-71.74,71,-71.74,41.69,1220082,4400318640,Coventry ,T1,A,153147249,8665662,41.7,-71.66,4
